Rank;Sourceid;Title;Issn;SJR;SJR Best Quartile;Year;Categories
1;28773;Ca-A Cancer Journal for Clinicians;15424863, 00079235;88,192;Q1;2019;"Hematology (Q1); Oncology (Q1)"
2;19434;MMWR Recommendations and Reports;10575987, 15458601;41,022;Q1;2019;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
3;21100812243;Nature Reviews Materials;20588437;36,691;Q1;2019;"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)"
4;29431;Quarterly Journal of Economics;00335533, 15314650;36,22;Q1;2019;Economics and Econometrics (Q1)
5;20315;Nature Reviews Molecular Cell Biology;14710072, 14710080;29,997;Q1;2019;"Cell Biology (Q1); Molecular Biology (Q1)"
6;58530;National Vital Statistics Reports;15518922, 15518930;29,81;Q1;2019;Life-span and Life-course Studies (Q1)
7;18991;Nature Reviews Genetics;14710056, 14710064;28,619;Q1;2019;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
8;18434;Cell;00928674, 10974172;24,698;Q1;2019;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
9;29719;Reviews of Modern Physics;00346861, 15390756;21,938;Q1;2019;Physics and Astronomy (miscellaneous) (Q1)
10;12464;Nature Reviews Cancer;1474175X, 14741768;21,287;Q1;2019;"Cancer Research (Q1); Oncology (Q1)"
11;24404;Journal of Political Economy;00223808, 1537534X;21,239;Q1;2019;Economics and Econometrics (Q1)
12;23340;Chemical Reviews;15206890, 00092665;20,847;Q1;2019;Chemistry (miscellaneous) (Q1)
13;71056;MMWR Surveillance Summaries;15458636, 15460738;20,617;Q1;2019;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
14;21318;Nature Reviews Immunology;14741741, 14741733;20,611;Q1;2019;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
15;21100778827;Nature Methods;15487091, 15487105;20,148;Q1;2019;"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
16;18990;Nature Genetics;10614036, 15461718;19,795;Q1;2019;Genetics (Q1)
17;21100812579;Nature Energy;20587546;19,635;Q1;2019;"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
18;20111;"Vital &amp; health statistics. Series 3, Analytical and epidemiological studies / [U.S. Dept. of Health and Human Services, Public Health Service, National Center for Health Statistics]";8864691;19,393;Q1;2019;Medicine (miscellaneous) (Q1)
19;15847;New England Journal of Medicine;00284793, 15334406;18,291;Q1;2019;Medicine (miscellaneous) (Q1)
20;16801;Annual Review of Biochemistry;15454509, 00664154;17,387;Q1;2019;Biochemistry (Q1)
21;17500;Journal of Finance;00221082, 15406261;17,134;Q1;2019;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
22;15819;Nature Medicine;1546170X, 10788956;15,812;Q1;2019;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
23;12354;Lancet Oncology, The;14702045, 14745488;15,65;Q1;2019;Oncology (Q1)
24;21100826569;Nature Reviews Chemistry;23973358;15,61;Q1;2019;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
25;5200152704;Nature Nanotechnology;17483387, 17483395;15,555;Q1;2019;"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
26;17854;Nature Materials;14764660, 14761122;14,862;Q1;2019;"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
27;17437;Nature Reviews Neuroscience;14710048, 1471003X;14,78;Q1;2019;Neuroscience (miscellaneous) (Q1)
28;19482;Econometrica;00129682, 14680262;14,563;Q1;2019;Economics and Econometrics (Q1)
29;16590;Lancet, The;01406736, 1474547X;14,554;Q1;2019;Medicine (miscellaneous) (Q1)
30;23350;Chemical Society Reviews;03060012, 14604744;14,49;Q1;2019;Chemistry (miscellaneous) (Q1)
31;26978;Advances in Physics;14606976, 00018732;14,432;Q1;2019;Condensed Matter Physics (Q1)
32;24202;Review of Economic Studies;00346527, 1467937X;14,235;Q1;2019;Economics and Econometrics (Q1)
33;21206;Nature;14764687, 00280836;14,047;Q1;2019;Multidisciplinary (Q1)
34;20651;Annual Review of Immunology;15453278, 07320582;13,842;Q1;2019;"Immunology (Q1); Immunology and Allergy (Q1)"
35;22697;American Economic Review;28282;13,773;Q1;2019;Economics and Econometrics (Q1)
36;17436;Nature Neuroscience;10976256, 15461726;13,723;Q1;2019;Neuroscience (miscellaneous) (Q1)
37;5700165152;Nature Photonics;17494885;13,614;Q1;2019;"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
38;20313;Nature Reviews Microbiology;17401534, 17401526;13,16;Q1;2019;"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1)"
39;23571;Science;10959203, 00368075;13,11;Q1;2019;"History and Philosophy of Science (Q1); Multidisciplinary (Q1)"
